Ax,Ay,Az,Mx,My,Mz,Gx,Gy,Gz,=>,Rv[0],Rv[1],Rv[2],Rv[3]
-0.7278368,0.4955994,9.491806,-0.39999998,-30.6,-44.4,-0.0063852,-0.0031926,-0.0148988,,0.03705616,-0.018354163,-0.9974487,0.058190186
-0.7146687,0.5099646,9.478638,-0.39999998,-30.6,-44.4,-0.0074494,-0.0031926,-0.015963,,0.03703431,-0.018322451,-0.9974592,0.058034677
-0.730231,0.5051762,9.509763,-0.39999998,-31.8,-43.2,-0.0074494,-0.0042568,-0.015963,,0.0370218,-0.018289289,-0.9974684,0.057892896
-0.7098803,0.5303153,9.472652,-0.39999998,-31.8,-43.2,-0.0074494,-0.0021284,-0.015963,,0.036985457,-0.018251333,-0.9974807,0.057716887
-0.7038948,0.5135559,9.482229,-0.39999998,-30.6,-43.8,-0.0085136,-0.0042568,-0.015963,,0.036975265,-0.018222857,-0.9974899,0.05757368
-0.7098803,0.5003878,9.4882145,-0.39999998,-30.6,-43.8,-0.0063852,-0.0031926,-0.015963,,0.03694711,-0.018182246,-0.9974997,0.05743397
-0.7206542,0.5279211,9.493003,-0.39999998,-30.6,-45.0,-0.0074494,-0.005321,-0.0148988,,0.036927097,-0.0181557,-0.9975111,0.05725851
-0.71826,0.5231327,9.495398,-0.39999998,-30.6,-45.0,-0.0085136,-0.0042568,-0.0148988,,0.036893543,-0.018134726,-0.99751997,0.05713016
-0.7242455,0.5099646,9.479835,-0.39999998,-30.0,-45.0,-0.0085136,-0.005321,-0.0148988,,0.036861826,-0.018080382,-0.9975314,0.05696907
-0.7134716,0.5051762,9.498988,-0.39999998,-30.0,-45.0,-0.010642,-0.0095778,-0.0138346,,0.036825277,-0.018043354,-0.9975408,0.056839176
-0.706289,0.5159501,9.485821,-0.39999998,-30.0,-45.0,-0.0095778,-0.005321,-0.0148988,,0.036746815,-0.017994406,-0.9975513,0.056720242
-0.7230484,0.502782,9.513353,-2.2,-28.2,-44.4,-0.0127704,-0.0085136,-0.015963,,0.036703024,-0.017929168,-0.9975632,0.056562074
-0.7326252,0.4932052,9.483426,-2.2,-28.2,-44.4,-0.0127704,-0.0074494,-0.0148988,,0.03664431,-0.01785157,-0.9975731,0.05644906
-0.71826,0.4944023,9.45709,0.20000005,-30.6,-45.0,-0.015963,-0.0127704,-0.0138346,,0.03659061,-0.01777455,-0.9975824,0.056345426
-0.7374136,0.5015849,9.424768,0.20000005,-30.6,-45.0,-0.0234124,-0.0255408,-0.0127704,,0.03646772,-0.017645838,-0.9975978,0.056191366
-0.6835441,0.4848255,9.525325,-2.2,-29.4,-44.4,-0.026605,-0.0297976,-0.0127704,,0.036228463,-0.01748218,-0.99761593,0.056075137
-0.6739673,0.4955994,9.53969,-2.2,-29.4,-44.4,-0.0191556,-0.0223482,-0.0148988,,0.035950903,-0.017298805,-0.99763364,0.05599589
-0.7003035,0.4932052,9.453499,-2.2,-29.4,-44.4,-0.0031926,0.0031926,-0.0148988,,0.03570554,-0.017137505,-0.99765277,0.055861622
